PERMNO,start,ending
10078.0,1992-08-20,2010-01-28
10104.0,1989-08-03,2023-12-29
10107.0,1994-06-07,2023-12-29
10137.0,2000-12-11,2011-02-25
10138.0,1999-10-13,2023-12-29
10145.0,1925-12-31,2023-12-29
10147.0,1996-03-28,2016-09-07
10225.0,1925-12-31,2014-04-30
10299.0,2000-04-03,2017-03-10
10324.0,2001-12-14,2011-04-01
10516.0,1981-07-30,2023-12-29
10562.0,2004-07-01,2009-01-29
10696.0,2001-04-02,2023-12-29
10874.0,1973-03-01,2008-06-20
10890.0,1954-04-20,2008-11-10
10909.0,2010-04-30,2022-06-07
11081.0,1996-09-06,2013-10-28
11308.0,1957-03-01,2023-12-29
11403.0,2017-09-18,2023-12-29
11404.0,1925-12-31,2023-12-29
11415.0,2006-02-27,2008-12-22
11533.0,2023-03-20,2023-12-29
11552.0,2006-11-06,2019-11-20
11600.0,2008-11-14,2023-12-29
11618.0,2008-09-15,2023-12-29
11674.0,1925-12-31,2023-12-29
11703.0,1957-03-01,2017-08-31
11754.0,1925-12-31,2010-12-17
11762.0,1957-03-01,2023-12-29
11786.0,2018-03-19,2023-03-14
11850.0,1925-12-31,2023-12-29
11891.0,2017-07-26,2023-12-29
11896.0,2018-12-03,2021-08-27
11955.0,1998-07-17,2023-12-29
11976.0,1998-10-01,2013-09-10
12052.0,1957-03-01,2023-12-29
12060.0,1957-03-01,2023-12-29
12062.0,2004-11-01,2023-12-29
12067.0,2000-06-19,2012-06-04
12073.0,2008-11-13,2022-04-01
12076.0,2015-07-29,2018-03-16
12079.0,1925-12-31,2009-06-02
12084.0,2021-03-22,2023-12-29
12140.0,1957-03-01,2012-07-30
12308.0,2016-09-08,2023-12-29
12345.0,2012-09-05,2023-12-29
12369.0,2013-06-07,2023-12-29
12431.0,1957-03-01,2009-06-30
12431.0,2010-11-17,2023-12-29
12448.0,2019-01-02,2023-05-03
12449.0,2018-06-20,2023-12-29
12456.0,2011-01-04,2012-05-24
12476.0,2022-10-12,2023-12-29
12490.0,1957-03-01,2023-12-29
12542.0,2013-07-09,2022-10-11
12558.0,2012-05-25,2023-12-29
12570.0,1957-03-01,2011-10-31
12622.0,2015-01-27,2023-12-29
12623.0,2018-01-03,2023-12-29
12650.0,2013-05-24,2021-12-13
12872.0,2011-07-01,2023-12-29
12981.0,2016-06-24,2022-12-16
13035.0,2011-11-01,2023-12-29
13103.0,2012-12-24,2023-12-29
13141.0,2012-01-03,2014-03-21
13142.0,2013-11-13,2020-05-11
13168.0,2011-12-21,2019-12-20
13210.0,2021-12-14,2023-12-29
13323.0,2021-01-07,2023-12-29
13356.0,2012-05-01,2023-12-29
13407.0,2013-12-23,2023-12-29
13447.0,2019-11-21,2023-12-29
13511.0,2023-06-20,2023-12-29
13567.0,2012-10-01,2016-05-02
13586.0,2012-10-01,2023-12-29
13598.0,2012-10-02,2015-07-02
13641.0,2018-12-03,2023-12-29
13688.0,1925-12-31,2019-01-17
13688.0,2022-10-03,2023-12-29
13721.0,2013-01-02,2023-12-29
13760.0,2017-10-13,2023-12-29
13788.0,2013-06-24,2023-12-29
13856.0,1957-03-01,2023-12-29
13901.0,1957-03-01,2023-12-29
13911.0,2017-08-29,2023-12-29
13928.0,1957-03-01,2023-12-29
13936.0,2013-02-14,2022-09-16
13949.0,2019-09-23,2023-12-29
13963.0,2013-07-01,2023-12-29
13964.0,2015-09-21,2023-12-29
13983.0,2016-10-03,2020-09-18
14008.0,1992-01-02,2023-12-29
14011.0,2014-08-19,2017-07-25
14277.0,1965-03-04,2023-12-29
14295.0,2018-06-07,2022-10-31
14297.0,2013-12-02,2023-12-29
14338.0,2017-06-19,2023-12-29
14541.0,1925-12-31,2023-12-29
14542.0,2014-04-03,2023-12-29
14579.0,2020-01-28,2023-12-29
14593.0,1982-11-18,2023-12-29
14601.0,2014-05-01,2018-06-04
14656.0,1969-03-06,2012-10-04
14702.0,1995-03-16,2023-12-29
14704.0,2017-06-02,2022-03-01
14714.0,2018-08-28,2023-12-29
14763.0,2020-09-21,2023-12-29
14776.0,2015-11-18,2023-12-29
14882.0,2021-03-22,2023-12-29
14889.0,2016-02-01,2023-12-29
14939.0,2018-11-06,2023-12-29
15069.0,1925-12-31,2023-12-29
15077.0,1987-04-09,2009-01-05
15202.0,1999-07-01,2023-12-29
15272.0,2021-12-20,2023-12-15
15291.0,2020-09-21,2023-12-29
15401.0,2015-07-01,2016-06-02
