,OFTIC,TICKER,MEASURE,ANNDATS,FISCALP,PYEAR,PMON,ACTUAL,SUESCORE,SURPMEAN,SURPSTDEV,USFIRM,EPSDATS,COMPANYID
156661,NWS,NWS/1,b'EPS',2005-02-03,b'QTR',2004.0,12.0,0.13,-2.61705,0.185,0.02102,1.0,2004-12-31,91031
156660,NWS,NWS/1,b'EPS',2005-02-03,b'QTR',2004.0,12.0,0.13,-2.61705,0.185,0.02102,1.0,2004-12-31,91031
156665,NWS,NWS/1,b'EPS',2005-05-04,b'QTR',2005.0,3.0,0.13,-3.37757,0.1725,0.01258,1.0,2005-03-31,91031
156664,NWS,NWS/1,b'EPS',2005-05-04,b'QTR',2005.0,3.0,0.13,-3.37757,0.1725,0.01258,1.0,2005-03-31,91031
156669,NWS,NWS/1,b'EPS',2005-08-10,b'QTR',2005.0,6.0,0.22,8.5,0.1775,0.005,1.0,2005-06-30,91031
156668,NWS,NWS/1,b'EPS',2005-08-10,b'QTR',2005.0,6.0,0.22,8.5,0.1775,0.005,1.0,2005-06-30,91031
156673,NWS,NWS/1,b'EPS',2005-11-10,b'QTR',2005.0,9.0,0.18,1.44338,0.16333,0.01155,1.0,2005-09-30,91031
156672,NWS,NWS/1,b'EPS',2005-11-10,b'QTR',2005.0,9.0,0.18,1.44338,0.16333,0.01155,1.0,2005-09-30,91031
156677,NWS,NWS/1,b'EPS',2006-05-10,b'QTR',2006.0,3.0,0.22,4.94979,0.185,0.00707,1.0,2006-03-31,91031
156676,NWS,NWS/1,b'EPS',2006-05-10,b'QTR',2006.0,3.0,0.22,4.94979,0.185,0.00707,1.0,2006-03-31,91031
156681,NWS,NWS/1,b'EPS',2006-08-08,b'QTR',2006.0,6.0,0.23,-0.54527,0.2465,0.03026,1.0,2006-06-30,91031
156680,NWS,NWS/1,b'EPS',2006-08-08,b'QTR',2006.0,6.0,0.23,-0.54527,0.2465,0.03026,1.0,2006-06-30,91031
156685,NWS,NWS/1,b'EPS',2007-02-07,b'QTR',2006.0,12.0,0.26,0.0,0.26,0.01414,1.0,2006-12-31,91031
156684,NWS,NWS/1,b'EPS',2007-02-07,b'QTR',2006.0,12.0,0.26,0.0,0.26,0.01414,1.0,2006-12-31,91031
156689,NWS,NWS/1,b'EPS',2008-08-05,b'QTR',2008.0,6.0,0.35,0.70711,0.325,0.03535,1.0,2008-06-30,91031
156688,NWS,NWS/1,b'EPS',2008-08-05,b'QTR',2008.0,6.0,0.35,0.70711,0.325,0.03535,1.0,2008-06-30,91031
156522,NWSA,NWS,b'EPS',2009-02-05,b'QTR',2008.0,12.0,0.12,-1.65372,0.1911,0.04299,1.0,2008-12-31,91031
156693,NWS,NWS/1,b'EPS',2009-05-06,b'QTR',2009.0,3.0,0.15,0.70711,0.14,0.01414,1.0,2009-03-31,91031
156527,NWSA,NWS,b'EPS',2009-05-06,b'QTR',2009.0,3.0,0.15,-0.21378,0.15476,0.02228,1.0,2009-03-31,91031
156532,NWSA,NWS,b'EPS',2009-08-05,b'QTR',2009.0,6.0,0.19,0.68048,0.17905,0.0161,1.0,2009-06-30,91031
156697,NWS,NWS/1,b'EPS',2009-08-05,b'QTR',2009.0,6.0,0.19,0.70711,0.185,0.00707,1.0,2009-06-30,91031
156537,NWSA,NWS,b'EPS',2009-11-04,b'QTR',2009.0,9.0,0.22,3.95077,0.18056,0.00998,1.0,2009-09-30,91031
156701,NWS,NWS/1,b'EPS',2009-11-04,b'QTR',2009.0,9.0,0.22,6.35031,0.18333,0.00577,1.0,2009-09-30,91031
156542,NWSA,NWS,b'EPS',2010-02-02,b'QTR',2009.0,12.0,0.25,2.7684,0.20118,0.01764,1.0,2009-12-31,91031
156705,NWS,NWS/1,b'EPS',2010-02-02,b'QTR',2009.0,12.0,0.25,3.65968,0.1875,0.01708,1.0,2009-12-31,91031
156547,NWSA,NWS,b'EPS',2010-05-04,b'QTR',2010.0,3.0,0.32,6.27426,0.22563,0.01504,1.0,2010-03-31,91031
156709,NWS,NWS/1,b'EPS',2010-05-04,b'QTR',2010.0,3.0,0.32,4.47447,0.21667,0.02309,1.0,2010-03-31,91031
156552,NWSA,NWS,b'EPS',2010-08-04,b'QTR',2010.0,6.0,0.3,6.40792,0.20056,0.01552,1.0,2010-06-30,91031
156713,NWS,NWS/1,b'EPS',2010-08-04,b'QTR',2010.0,6.0,0.3,20.20552,0.18333,0.00577,1.0,2010-06-30,91031
156557,NWSA,NWS,b'EPS',2010-11-03,b'QTR',2010.0,9.0,0.27,1.88853,0.24111,0.0153,1.0,2010-09-30,91031
156562,NWSA,NWS,b'EPS',2011-02-02,b'QTR',2010.0,12.0,0.29,0.42156,0.27941,0.02512,1.0,2010-12-31,91031
156567,NWSA,NWS,b'EPS',2011-05-04,b'QTR',2011.0,3.0,0.26,-0.87111,0.27368,0.01571,1.0,2011-03-31,91031
156572,NWSA,NWS,b'EPS',2011-08-10,b'QTR',2011.0,6.0,0.36,4.76905,0.29579,0.01346,1.0,2011-06-30,91031
156726,NWS,NWS/1,b'EPS',2011-08-10,b'QTR',2011.0,6.0,0.36,3.20251,0.29333,0.02082,1.0,2011-06-30,91031
156730,NWS,NWS/1,b'EPS',2011-11-02,b'QTR',2011.0,9.0,0.32,1.22474,0.29,0.0245,1.0,2011-09-30,91031
156577,NWSA,NWS,b'EPS',2011-11-02,b'QTR',2011.0,9.0,0.32,2.17504,0.2905,0.01356,1.0,2011-09-30,91031
156734,NWS,NWS/1,b'EPS',2012-02-08,b'QTR',2011.0,12.0,0.39,3.48567,0.345,0.01291,1.0,2011-12-31,91031
156582,NWSA,NWS,b'EPS',2012-02-08,b'QTR',2011.0,12.0,0.39,3.80431,0.34,0.01314,1.0,2011-12-31,91031
156738,NWS,NWS/1,b'EPS',2012-05-09,b'QTR',2012.0,3.0,0.37,4.1723,0.3175,0.01258,1.0,2012-03-31,91031
156587,NWSA,NWS,b'EPS',2012-05-09,b'QTR',2012.0,3.0,0.37,4.51085,0.30917,0.01349,1.0,2012-03-31,91031
156592,NWSA,NWS,b'EPS',2012-08-08,b'QTR',2012.0,6.0,0.32,-0.04352,0.32087,0.01998,1.0,2012-06-30,91031
156742,NWS,NWS/1,b'EPS',2012-08-08,b'QTR',2012.0,6.0,0.32,0.35082,0.316,0.0114,1.0,2012-06-30,91031
156746,NWS,NWS/1,b'EPS',2012-11-06,b'QTR',2012.0,9.0,0.43,10.22458,0.374,0.00548,1.0,2012-09-30,91031
156597,NWSA,NWS,b'EPS',2012-11-06,b'QTR',2012.0,9.0,0.43,2.85562,0.37486,0.01931,1.0,2012-09-30,91031
156750,NWS,NWS/1,b'EPS',2013-02-06,b'QTR',2012.0,12.0,0.44,1.09549,0.434,0.00548,1.0,2012-12-31,91031
156602,NWSA,NWS,b'EPS',2013-02-06,b'QTR',2012.0,12.0,0.44,0.92921,0.42573,0.01536,1.0,2012-12-31,91031
156754,NWS,NWS/1,b'EPS',2013-05-08,b'QTR',2013.0,3.0,0.36,-0.26112,0.3625,0.00957,1.0,2013-03-31,91031
156607,NWSA,NWS,b'EPS',2013-05-08,b'QTR',2013.0,3.0,0.36,0.51361,0.35019,0.0191,1.0,2013-03-31,91031
156824,NWSA,NWSV,b'EPS',2013-09-20,b'QTR',2013.0,6.0,1.06,13.03324,0.14333,0.07033,1.0,2013-06-30,91031
156764,FOX,NWS/1,b'EPS',2013-11-05,b'QTR',2013.0,9.0,0.33,-1.16667,0.365,0.03,1.0,2013-09-30,91031
