companyid,transcriptid
18749,9
19049,20
19691,12
21127,14
21835,19
22247,22
24937,12
27807,10
30771,10
32307,13
94238,9
100231,9
106335,22
107534,11
139677,14
139813,16
162270,10
168569,6
168864,12
177031,17
190694,8
205573,9
250388,2
258823,12
260149,13
266311,10
270961,11
271409,10
273607,12
286798,8
289030,17
292891,13
293286,15
304260,15
305304,15
309845,4
314842,13
317627,15
318091,8
323857,9
332124,12
370857,9
382914,4
391687,16
399960,16
405483,11
406338,13
415798,12
472898,17
658776,16
1342560,11
3632895,10
13580386,6
23812789,3
27444752,3
