GVKEY,TICKER,DATADATE,FYEAR,CSHTR_C,CSHTR_F,PRCH_C,PRCL_C,PRCC_C,MKVALT,est_avg_price,calendar_avg,fiscal_avg,COMPANYID,ENDDATE
001013,ADCT.1,1998-10-31,1998.0,480833900.0,455471600.0,42.0,15.75,34.75,3102.631,30.83333333333333,1908071.031746032,1807426.984126984,100537,
001013,ADCT.1,1999-10-31,1999.0,515619200.0,505667200.0,75.75,34.375,72.5625,7161.3749,60.895833333333336,2046107.9365079368,2006615.873015873,100537,
001013,ADCT.1,2000-10-31,2000.0,2628537000.0,2471448000.0,49.0,15.25,18.125,16465.1625,27.45833333333333,10430702.38095238,9807333.333333334,100537,
001013,ADCT.1,2001-10-31,2001.0,2781073400.0,2814647500.0,21.8125,2.63,4.6,3603.6,9.680833333333332,11036005.555555556,11169236.111111112,100537,
001045,AAL,1998-12-31,1998.0,410251994.0,410251994.0,89.9375,45.625,59.375,9580.2156,64.97916666666667,1627984.103174603,1627984.103174603,168569,
001045,AAL,1999-12-31,1999.0,298527000.0,298527000.0,75.4375,52.5625,67.0,9932.415,65.0,1184630.9523809524,1184630.9523809524,168569,
001045,AAL,2000-12-31,2000.0,309246700.0,309246700.0,68.75,26.0,39.1875,5958.9688,44.645833333333336,1227169.4444444445,1227169.4444444445,168569,
001045,AAL,2003-12-31,2003.0,2033822505.0,2033822505.0,15.46,1.25,12.95,2066.5869,9.886666666666668,8070724.226190476,8070724.226190476,168569,
001045,AAL,2004-12-31,2004.0,1292437700.0,1292437700.0,17.65,6.34,10.95,1764.6582,11.646666666666668,5128721.031746032,5128721.031746032,168569,
001045,AAL,2005-12-31,2005.0,1141333000.0,1141333000.0,23.53,7.83,22.23,4062.1324,17.863333333333333,4529099.206349206,4529099.206349206,168569,
001045,AAL,2006-12-31,2006.0,1566566400.0,1566566400.0,34.4,18.24,30.23,6717.8315,27.62333333333333,6216533.333333333,6216533.333333333,168569,
001045,AAL,2007-12-31,2007.0,2041875609.0,2041875609.0,41.0,13.65,14.03,3499.0539,22.89333333333333,8102680.988095238,8102680.988095238,168569,
001045,AAL,2008-12-31,2008.0,4161703897.0,4161703897.0,16.49,4.0,10.67,2976.3858,10.386666666666663,16514698.003968254,16514698.003968254,168569,
001045,AAL,2009-12-31,2009.0,3282796862.0,3282796862.0,12.475,2.4,7.73,2571.1835,7.535,13026971.674603175,13026971.674603175,168569,
